,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-15 18:28:00-04:00,82.08,82.08,82.08,82.08,1,1,82.08
2021-06-15 20:00:00-04:00,82.075,82.13,82.075,82.13,20,3,1642.23
2021-06-16 01:37:00-04:00,82.12,82.12,82.12,82.12,1,1,82.12
2021-06-16 02:56:00-04:00,82.15,82.15,82.15,82.15,1,1,82.15
2021-06-16 06:51:00-04:00,82.08,82.08,82.08,82.08,1,1,82.08
2021-06-16 07:33:00-04:00,82.095,82.095,82.095,82.095,1,1,82.095
2021-06-16 07:53:00-04:00,82.085,82.085,82.085,82.085,6,1,492.51
2021-06-16 08:48:00-04:00,82.09,82.09,82.08,82.08,8,3,656.705
2021-06-16 11:25:00-04:00,82.13,82.13,82.13,82.13,1,1,82.13
2021-06-16 11:28:00-04:00,82.155,82.155,82.155,82.155,4,1,328.62
2021-06-16 12:00:00-04:00,82.215,82.215,82.215,82.215,1,1,82.215
2021-06-16 12:50:00-04:00,82.215,82.215,82.215,82.215,1,1,82.215
2021-06-16 13:32:00-04:00,82.14,82.14,82.115,82.115,14,4,1149.785
2021-06-16 13:35:00-04:00,82.125,82.125,82.12,82.12,7,2,574.87
2021-06-16 14:00:00-04:00,81.875,81.875,81.875,81.875,1,1,81.875
2021-06-16 14:03:00-04:00,81.82,81.82,81.82,81.82,2,1,163.64
2021-06-16 14:15:00-04:00,81.7,81.7,81.675,81.675,3,2,245.05
2021-06-16 14:21:00-04:00,81.735,81.735,81.735,81.735,1,1,81.735
2021-06-16 14:25:00-04:00,81.78,81.78,81.78,81.78,1,1,81.78
2021-06-16 14:29:00-04:00,81.735,81.735,81.735,81.735,1,1,81.735
2021-06-16 14:35:00-04:00,81.705,81.705,81.705,81.705,1,1,81.705
2021-06-16 14:40:00-04:00,81.655,81.655,81.655,81.655,1,1,81.655
2021-06-16 14:44:00-04:00,81.545,81.545,81.545,81.545,1,1,81.545
2021-06-16 14:45:00-04:00,81.52,81.52,81.52,81.52,1,1,81.52
