,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-01 18:05:00-04:00,80.15,80.15,80.15,80.15,1,1,80.15
2021-08-01 21:33:00-04:00,80.14,80.14,80.135,80.135,2,2,160.275
2021-08-02 03:34:00-04:00,80.25,80.25,80.25,80.25,1,1,80.25
2021-08-02 05:51:00-04:00,80.225,80.225,80.225,80.225,2,2,160.45
2021-08-02 10:03:00-04:00,80.25,80.25,80.25,80.25,1,1,80.25
2021-08-02 10:55:00-04:00,80.045,80.045,80.045,80.045,1,1,80.045
2021-08-02 10:56:00-04:00,80.02,80.02,80.02,80.02,1,1,80.02
2021-08-02 10:59:00-04:00,80.07,80.07,80.07,80.07,1,1,80.07
2021-08-02 11:39:00-04:00,80.02,80.02,80.02,80.02,1,1,80.02
2021-08-02 13:42:00-04:00,79.95,79.95,79.95,79.95,1,1,79.95
