,ESM22 Index,ESM22 Index,ESM22 Index,ESM22 Index,ESM22 Index,ESM22 Index,ESM22 Index
,open,high,low,close,volume,num_trds,value
2021-09-30 18:03:00-04:00,4287.75,4288.0,4287.75,4288.0,2,2,8575.75
2021-09-30 18:05:00-04:00,4286.0,4286.0,4286.0,4286.0,1,1,4286.0
2021-09-30 18:16:00-04:00,4289.25,4289.25,4289.25,4289.25,1,1,4289.25
2021-09-30 18:38:00-04:00,4284.5,4284.5,4284.5,4284.5,1,1,4284.5
2021-09-30 20:17:00-04:00,4291.75,4291.75,4291.75,4291.75,1,1,4291.75
2021-09-30 22:09:00-04:00,4255.75,4255.75,4255.25,4255.25,11,3,46808.5
2021-09-30 22:11:00-04:00,4254.25,4254.25,4254.25,4254.25,1,1,4254.25
2021-09-30 22:12:00-04:00,4253.75,4253.75,4253.75,4253.75,1,1,4253.75
2021-10-01 02:20:00-04:00,4249.0,4249.0,4249.0,4249.0,1,1,4249.0
2021-10-01 06:36:00-04:00,4260.75,4260.75,4260.75,4260.75,1,1,4260.75
2021-10-01 07:28:00-04:00,4286.0,4286.0,4286.0,4286.0,1,1,4286.0
2021-10-01 09:30:00-04:00,4301.0,4301.5,4301.0,4301.5,3,3,12903.75
2021-10-01 09:48:00-04:00,4280.75,4280.75,4280.75,4280.75,1,1,4280.75
2021-10-01 10:22:00-04:00,4263.0,4263.0,4263.0,4263.0,1,1,4263.0
2021-10-01 10:31:00-04:00,4263.5,4263.5,4263.5,4263.5,2,1,8527.0
2021-10-01 10:45:00-04:00,4260.0,4260.0,4260.0,4260.0,2,2,8520.0
2021-10-01 10:58:00-04:00,4277.75,4277.75,4277.5,4277.5,2,2,8555.25
2021-10-01 12:59:00-04:00,4300.5,4300.5,4300.5,4300.5,4,1,17202.0
2021-10-01 13:10:00-04:00,4310.5,4310.5,4310.5,4310.5,2,1,8621.0
2021-10-01 13:22:00-04:00,4309.5,4309.5,4309.5,4309.5,2,1,8619.0
2021-10-01 13:54:00-04:00,4324.5,4324.5,4324.5,4324.5,2,1,8649.0
2021-10-01 13:55:00-04:00,4323.0,4323.0,4323.0,4323.0,3,1,12969.0
2021-10-01 15:46:00-04:00,4333.25,4333.25,4333.25,4333.25,2,1,8666.5
