,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty
,open,high,low,close,volume,num_trds,value
2021-09-15 20:00:00-04:00,1304.25,1307.5,1303.75,1305.0,56,34,73111.25
2021-09-15 20:01:00-04:00,1305.25,1306.5,1305.25,1306.5,9,7,11755.0
2021-09-15 20:02:00-04:00,1306.25,1307.25,1306.25,1307.25,4,3,5227.75
2021-09-15 20:03:00-04:00,1307.25,1307.5,1307.25,1307.5,2,2,2614.75
2021-09-15 20:04:00-04:00,1307.5,1307.75,1307.25,1307.25,6,4,7845.25
2021-09-15 20:05:00-04:00,1307.0,1307.0,1307.0,1307.0,2,2,2614.0
2021-09-15 20:06:00-04:00,1307.75,1308.0,1307.0,1307.0,5,3,6538.5
2021-09-15 20:07:00-04:00,1307.5,1307.5,1307.5,1307.5,12,2,15690.0
2021-09-15 20:08:00-04:00,1306.75,1306.75,1306.75,1306.75,1,1,1306.75
2021-09-15 20:09:00-04:00,1306.5,1306.75,1306.5,1306.5,7,5,9146.25
2021-09-15 20:13:00-04:00,1307.0,1307.0,1306.75,1306.75,5,2,6534.0
2021-09-15 20:14:00-04:00,1306.75,1306.75,1306.75,1306.75,6,2,7840.5
2021-09-15 20:15:00-04:00,1307.25,1307.25,1307.25,1307.25,1,1,1307.25
2021-09-15 20:17:00-04:00,1307.0,1307.0,1307.0,1307.0,1,1,1307.0
2021-09-15 20:22:00-04:00,1306.5,1306.5,1306.5,1306.5,1,1,1306.5
2021-09-15 20:26:00-04:00,1306.5,1306.5,1306.5,1306.5,1,1,1306.5
2021-09-15 20:28:00-04:00,1306.25,1306.25,1306.25,1306.25,1,1,1306.25
2021-09-15 20:30:00-04:00,1306.0,1306.0,1306.0,1306.0,2,2,2612.0
2021-09-15 20:31:00-04:00,1305.75,1305.75,1305.75,1305.75,1,1,1305.75
2021-09-15 20:33:00-04:00,1305.75,1306.0,1305.75,1306.0,6,2,7835.5
2021-09-15 20:36:00-04:00,1306.0,1306.0,1305.5,1305.75,9,3,11750.25
2021-09-15 20:37:00-04:00,1305.75,1305.75,1305.75,1305.75,3,3,3917.25
2021-09-15 20:40:00-04:00,1306.0,1306.0,1306.0,1306.0,1,1,1306.0
2021-09-15 20:41:00-04:00,1306.25,1306.25,1306.25,1306.25,4,1,5225.0
2021-09-15 20:47:00-04:00,1305.75,1305.75,1305.75,1305.75,2,2,2611.5
2021-09-15 20:50:00-04:00,1305.75,1305.75,1305.75,1305.75,2,1,2611.5
2021-09-15 20:53:00-04:00,1306.5,1306.5,1306.5,1306.5,4,2,5226.0
2021-09-15 20:54:00-04:00,1306.75,1307.0,1306.75,1307.0,7,4,9148.0
2021-09-15 20:56:00-04:00,1306.75,1306.75,1306.75,1306.75,1,1,1306.75
2021-09-15 20:58:00-04:00,1306.0,1306.0,1306.0,1306.0,1,1,1306.0
2021-09-15 20:59:00-04:00,1306.25,1306.25,1306.25,1306.25,1,1,1306.25
2021-09-15 21:00:00-04:00,1306.25,1306.25,1304.25,1304.25,6,6,7830.5
2021-09-15 21:05:00-04:00,1304.75,1305.25,1304.75,1305.25,6,5,7829.5
2021-09-15 21:06:00-04:00,1304.75,1304.75,1304.75,1304.75,1,1,1304.75
2021-09-15 21:07:00-04:00,1304.75,1304.75,1304.75,1304.75,1,1,1304.75
2021-09-15 21:09:00-04:00,1304.75,1304.75,1304.75,1304.75,1,1,1304.75
2021-09-15 21:10:00-04:00,1304.0,1304.0,1304.0,1304.0,1,1,1304.0
2021-09-15 21:14:00-04:00,1304.5,1304.5,1304.5,1304.5,1,1,1304.5
2021-09-15 21:16:00-04:00,1304.75,1304.75,1304.75,1304.75,1,1,1304.75
2021-09-15 21:18:00-04:00,1305.5,1305.5,1305.5,1305.5,1,1,1305.5
2021-09-15 21:19:00-04:00,1305.75,1306.5,1305.75,1306.5,3,2,3918.0
2021-09-15 21:20:00-04:00,1306.5,1307.25,1306.5,1307.25,4,4,5228.25
2021-09-15 21:21:00-04:00,1307.75,1307.75,1307.75,1307.75,2,1,2615.5
2021-09-15 21:22:00-04:00,1307.5,1307.5,1307.25,1307.25,3,2,3922.0
2021-09-15 21:23:00-04:00,1307.0,1307.0,1307.0,1307.0,2,1,2614.0
2021-09-15 21:29:00-04:00,1307.25,1307.5,1307.25,1307.5,2,2,2614.75
2021-09-15 21:30:00-04:00,1307.75,1308.75,1307.75,1308.75,11,5,14390.75
2021-09-15 21:32:00-04:00,1308.5,1309.25,1308.25,1309.25,16,5,20945.0
2021-09-15 21:33:00-04:00,1309.25,1309.25,1308.75,1308.75,2,2,2618.0
2021-09-15 21:34:00-04:00,1308.75,1308.75,1308.75,1308.75,1,1,1308.75
2021-09-15 21:35:00-04:00,1308.5,1308.5,1308.5,1308.5,1,1,1308.5
2021-09-15 21:39:00-04:00,1308.5,1308.5,1308.5,1308.5,2,2,2617.0
