,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-11-10 05:08:00-05:00,80.51,80.51,80.51,80.51,1,1,80.51
2021-11-10 08:01:00-05:00,80.415,80.415,80.415,80.415,1,1,80.415
2021-11-10 08:32:00-05:00,80.305,80.305,80.305,80.305,1,1,80.305
2021-11-10 09:35:00-05:00,80.7,80.725,80.7,80.725,2,2,161.425
2021-11-10 09:43:00-05:00,80.68,80.685,80.68,80.685,20,4,1613.66
2021-11-10 09:45:00-05:00,80.65,80.65,80.65,80.65,1,1,80.65
2021-11-10 09:49:00-05:00,80.635,80.635,80.635,80.635,1,1,80.635
2021-11-10 10:02:00-05:00,80.635,80.635,80.635,80.635,1,1,80.635
2021-11-10 11:03:00-05:00,80.4,80.4,80.4,80.4,1,1,80.4
2021-11-10 11:55:00-05:00,80.35,80.35,80.35,80.35,1,1,80.35
2021-11-10 13:31:00-05:00,80.17,80.17,80.17,80.17,1,1,80.17
2021-11-10 13:56:00-05:00,80.045,80.045,80.045,80.045,1,1,80.045
2021-11-10 14:19:00-05:00,80.07,80.07,80.07,80.07,5,1,400.35
2021-11-10 14:27:00-05:00,80.045,80.05,80.045,80.05,2,2,160.095
2021-11-10 15:14:00-05:00,80.025,80.025,80.025,80.025,1,1,80.025
2021-11-10 15:52:00-05:00,80.075,80.075,80.075,80.075,1,1,80.075
