,px_adjustment_factor,vol_adjustment_factor
2020-01-02,0.9169173859432799,1.0
2020-01-03,0.9169183168316832,1.0
2020-01-06,0.9169182782283218,1.0
2020-01-07,0.9169192546583851,1.0
2020-01-08,0.9169221183800623,1.0
2020-01-09,0.916920245398773,1.0
2020-01-10,0.9169212121212121,1.0
2020-01-13,0.916918918918919,1.0
2020-01-14,0.9169216975493126,1.0
2020-01-15,0.916918052256532,1.0
2020-01-16,0.9169176470588235,1.0
2020-01-17,0.9169221902017292,1.0
2020-01-20,0.9169226260257913,1.0
2020-01-21,0.9169226154769047,1.0
2020-01-22,0.9169189511323004,1.0
2020-01-23,0.9169175195665263,1.0
2020-01-24,0.9169184290030211,1.0
2020-01-29,0.9169192546583851,1.0
2020-01-30,0.9169191919191919,1.0
2020-01-31,0.916921618204804,1.0
2020-02-03,0.9169211195928753,1.0
2020-02-04,0.9169225888324873,1.0
2020-02-05,0.9169235668789808,1.0
2020-02-06,0.9169192546583851,1.0
2020-02-07,0.9169183548189074,1.0
2020-02-10,0.9169221260815822,1.0
2020-02-11,0.9169178505250155,1.0
2020-02-12,0.9169183548189074,1.0
2020-02-13,0.916920712968654,1.0
2020-02-14,0.9169188529591213,1.0
2020-02-17,0.916917933130699,1.0
2020-02-18,0.9169188529591213,1.0
2020-02-19,0.9169211973121564,1.0
2020-02-20,0.9169221411192213,1.0
2020-02-21,0.9169178921568627,1.0
2020-02-24,0.9169226006191951,1.0
2020-02-25,0.9169226006191951,1.0
2020-02-26,0.9169183168316832,1.0
2020-02-27,0.9169216646266829,1.0
2020-02-28,0.916923076923077,1.0
2020-03-02,0.9169178505250155,1.0
2020-03-03,0.940148005148005,1.0
2020-03-04,0.9401474530831101,1.0
2020-03-05,0.9401458885941644,1.0
2020-03-06,0.9401495581237254,1.0
2020-03-09,0.940148830616584,1.0
2020-03-10,0.9401466480446927,1.0
2020-03-11,0.9401469559132261,1.0
2020-03-12,0.9401501072194424,1.0
2020-03-13,0.9401506456241032,1.0
2020-03-16,0.9401510574018126,1.0
2020-03-17,0.9401500375093773,1.0
2020-03-18,0.9401504890895409,1.0
2020-03-19,0.9401468315301391,1.0
