,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-13 18:30:00-04:00,82.23,82.23,82.23,82.23,2,1,164.46
2021-06-13 23:58:00-04:00,82.275,82.275,82.275,82.275,1,1,82.275
2021-06-14 04:41:00-04:00,82.235,82.235,82.235,82.235,1,1,82.235
2021-06-14 05:07:00-04:00,82.225,82.225,82.225,82.225,1,1,82.225
2021-06-14 08:12:00-04:00,82.195,82.195,82.19,82.19,2,2,164.385
2021-06-14 08:39:00-04:00,82.25,82.25,82.25,82.25,1,1,82.25
2021-06-14 10:30:00-04:00,82.44,82.44,82.44,82.44,1,1,82.44
2021-06-14 10:52:00-04:00,82.42,82.42,82.42,82.42,1,1,82.42
2021-06-14 12:29:00-04:00,82.37,82.37,82.37,82.37,1,1,82.37
2021-06-14 15:57:00-04:00,82.36,82.36,82.36,82.36,1,1,82.36
2021-06-14 15:58:00-04:00,82.345,82.345,82.345,82.345,1,1,82.345
