,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-25 18:07:00-04:00,80.76,80.76,80.76,80.76,1,1,80.76
2021-10-26 07:37:00-04:00,80.945,80.95,80.945,80.95,12,2,971.355
2021-10-26 09:27:00-04:00,80.96,80.96,80.96,80.96,1,1,80.96
2021-10-26 10:00:00-04:00,80.91,80.91,80.91,80.91,2,1,161.82
2021-10-26 11:34:00-04:00,80.74,80.745,80.74,80.745,3,2,242.225
2021-10-26 12:36:00-04:00,80.715,80.715,80.715,80.715,3,1,242.145
2021-10-26 13:25:00-04:00,80.73,80.73,80.73,80.73,1,1,80.73
2021-10-26 13:30:00-04:00,80.74,80.74,80.74,80.74,10,5,807.4
2021-10-26 14:03:00-04:00,80.76,80.76,80.76,80.76,3,1,242.28
2021-10-26 14:05:00-04:00,80.77,80.77,80.77,80.77,5,3,403.85
