,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-25 19:45:00-04:00,80.76,80.76,80.76,80.76,8,2,646.08
2021-10-25 19:56:00-04:00,80.77,80.775,80.77,80.775,2,2,161.545
2021-10-26 03:46:00-04:00,80.7,80.7,80.695,80.695,2,2,161.395
2021-10-26 03:50:00-04:00,80.715,80.715,80.715,80.715,1,1,80.715
2021-10-26 03:51:00-04:00,80.72,80.72,80.72,80.72,1,1,80.72
2021-10-26 04:03:00-04:00,80.725,80.725,80.725,80.725,1,1,80.725
2021-10-26 04:06:00-04:00,80.755,80.755,80.755,80.755,1,1,80.755
2021-10-26 04:16:00-04:00,80.785,80.79,80.785,80.79,2,2,161.575
2021-10-26 04:17:00-04:00,80.785,80.785,80.785,80.785,1,1,80.785
2021-10-26 04:20:00-04:00,80.805,80.805,80.805,80.805,1,1,80.805
2021-10-26 04:22:00-04:00,80.81,80.81,80.81,80.81,1,1,80.81
2021-10-26 04:28:00-04:00,80.79,80.79,80.79,80.79,1,1,80.79
2021-10-26 04:57:00-04:00,80.82,80.82,80.82,80.82,1,1,80.82
2021-10-26 05:14:00-04:00,80.805,80.805,80.805,80.805,1,1,80.805
2021-10-26 06:01:00-04:00,80.86,80.86,80.86,80.86,1,1,80.86
2021-10-26 06:29:00-04:00,80.915,80.915,80.915,80.915,1,1,80.915
2021-10-26 06:53:00-04:00,80.93,80.93,80.93,80.93,2,1,161.86
2021-10-26 07:06:00-04:00,80.945,80.945,80.945,80.945,1,1,80.945
2021-10-26 07:40:00-04:00,80.92,80.92,80.92,80.92,1,1,80.92
2021-10-26 07:45:00-04:00,80.9,80.9,80.9,80.9,1,1,80.9
2021-10-26 07:48:00-04:00,80.89,80.89,80.89,80.89,1,1,80.89
2021-10-26 08:46:00-04:00,80.925,80.925,80.925,80.925,2,1,161.85
2021-10-26 08:49:00-04:00,80.93,80.93,80.93,80.93,1,1,80.93
2021-10-26 09:31:00-04:00,80.88,80.88,80.88,80.88,1,1,80.88
2021-10-26 10:00:00-04:00,80.905,80.925,80.905,80.925,5,2,404.545
2021-10-26 10:04:00-04:00,80.93,80.93,80.93,80.93,1,1,80.93
2021-10-26 10:05:00-04:00,80.91,80.91,80.91,80.91,1,1,80.91
2021-10-26 10:06:00-04:00,80.9,80.9,80.9,80.9,1,1,80.9
2021-10-26 11:32:00-04:00,80.77,80.77,80.76,80.76,2,2,161.53
2021-10-26 11:34:00-04:00,80.76,80.76,80.76,80.76,1,1,80.76
2021-10-26 11:44:00-04:00,80.745,80.745,80.745,80.745,1,1,80.745
2021-10-26 11:46:00-04:00,80.735,80.735,80.735,80.735,1,1,80.735
2021-10-26 12:16:00-04:00,80.715,80.715,80.715,80.715,1,1,80.715
2021-10-26 12:22:00-04:00,80.69,80.69,80.69,80.69,1,1,80.69
2021-10-26 12:25:00-04:00,80.7,80.7,80.7,80.7,1,1,80.7
2021-10-26 12:36:00-04:00,80.71,80.71,80.71,80.71,2,1,161.42
2021-10-26 12:37:00-04:00,80.715,80.715,80.715,80.715,1,1,80.715
2021-10-26 12:41:00-04:00,80.68,80.68,80.68,80.68,1,1,80.68
2021-10-26 13:13:00-04:00,80.705,80.705,80.705,80.705,1,1,80.705
2021-10-26 13:27:00-04:00,80.72,80.72,80.72,80.72,4,1,322.88
2021-10-26 14:57:00-04:00,80.72,80.72,80.72,80.72,1,1,80.72
2021-10-26 15:51:00-04:00,80.715,80.715,80.715,80.715,1,1,80.715
