,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy
,open,high,low,close,volume,num_trds,value
2021-06-21 17:00:00-04:00,6.5093,6.51,6.5093,6.5093,0,71,0.0
2021-06-21 17:01:00-04:00,6.5093,6.5097,6.5093,6.5097,0,6,0.0
2021-06-21 17:02:00-04:00,6.5098,6.5099,6.5098,6.5099,0,2,0.0
2021-06-21 17:03:00-04:00,6.5102,6.511,6.51,6.5103,0,36,0.0
2021-06-21 17:04:00-04:00,6.5103,6.5111,6.5103,6.5104,0,33,0.0
2021-06-21 17:05:00-04:00,6.5104,6.5109,6.5091,6.5099,0,66,0.0
2021-06-21 17:06:00-04:00,6.5099,6.5109,6.5094,6.5097,0,66,0.0
2021-06-21 17:07:00-04:00,6.5097,6.5097,6.5094,6.5096,0,22,0.0
2021-06-21 17:08:00-04:00,6.5098,6.5104,6.5092,6.5099,0,92,0.0
2021-06-21 17:09:00-04:00,6.51,6.5108,6.5098,6.5108,0,60,0.0
2021-06-21 17:10:00-04:00,6.5108,6.5108,6.5101,6.5101,0,14,0.0
2021-06-21 17:11:00-04:00,6.5101,6.5108,6.5101,6.5101,0,42,0.0
2021-06-21 17:12:00-04:00,6.5101,6.5108,6.51,6.5106,0,128,0.0
2021-06-21 17:13:00-04:00,6.5105,6.5106,6.5098,6.5098,0,78,0.0
2021-06-21 17:14:00-04:00,6.5098,6.5105,6.5097,6.5102,0,64,0.0
2021-06-21 17:15:00-04:00,6.5101,6.5103,6.5099,6.5103,0,28,0.0
2021-06-21 17:16:00-04:00,6.5103,6.511,6.5103,6.5103,0,38,0.0
2021-06-21 17:17:00-04:00,6.5103,6.5111,6.5103,6.5103,0,40,0.0
2021-06-21 17:19:00-04:00,6.5104,6.5111,6.5104,6.5104,0,20,0.0
2021-06-21 17:20:00-04:00,6.5105,6.5114,6.5105,6.5106,0,94,0.0
2021-06-21 17:21:00-04:00,6.5106,6.5112,6.5106,6.5111,0,62,0.0
2021-06-21 17:22:00-04:00,6.511,6.5115,6.5105,6.5112,0,64,0.0
2021-06-21 17:23:00-04:00,6.5112,6.5112,6.5104,6.5109,0,47,0.0
2021-06-21 17:25:00-04:00,6.511,6.5115,6.5107,6.511,0,124,0.0
2021-06-21 17:26:00-04:00,6.5111,6.5114,6.5107,6.5107,0,50,0.0
2021-06-21 17:27:00-04:00,6.5108,6.5114,6.5103,6.5103,0,60,0.0
2021-06-21 17:28:00-04:00,6.5103,6.5111,6.5103,6.5107,0,76,0.0
2021-06-21 17:29:00-04:00,6.5107,6.5113,6.5106,6.5106,0,30,0.0
2021-06-21 17:30:00-04:00,6.5107,6.5111,6.5104,6.5104,0,42,0.0
2021-06-21 17:31:00-04:00,6.5106,6.5113,6.5103,6.5108,0,126,0.0
2021-06-21 17:32:00-04:00,6.5107,6.5108,6.5107,6.5107,0,18,0.0
2021-06-21 17:33:00-04:00,6.5108,6.5113,6.5108,6.5109,0,20,0.0
2021-06-21 17:34:00-04:00,6.5109,6.5114,6.5106,6.5109,0,118,0.0
2021-06-21 17:35:00-04:00,6.511,6.5114,6.5105,6.5106,0,114,0.0
2021-06-21 17:36:00-04:00,6.5106,6.5114,6.5104,6.5109,0,100,0.0
2021-06-21 17:37:00-04:00,6.5109,6.5115,6.5107,6.5109,0,76,0.0
2021-06-21 17:38:00-04:00,6.5109,6.5112,6.5106,6.5111,0,84,0.0
2021-06-21 17:39:00-04:00,6.5111,6.5114,6.5106,6.511,0,94,0.0
2021-06-21 17:40:00-04:00,6.511,6.511,6.511,6.511,0,12,0.0
2021-06-21 17:41:00-04:00,6.511,6.511,6.5105,6.511,0,16,0.0
2021-06-21 17:42:00-04:00,6.511,6.511,6.511,6.511,0,16,0.0
2021-06-21 17:44:00-04:00,6.5111,6.5115,6.511,6.5111,0,48,0.0
2021-06-21 17:45:00-04:00,6.511,6.5111,6.5105,6.5105,0,26,0.0
2021-06-21 17:46:00-04:00,6.5105,6.5114,6.5105,6.5114,0,36,0.0
2021-06-21 17:47:00-04:00,6.5113,6.5115,6.5105,6.5105,0,88,0.0
2021-06-21 17:48:00-04:00,6.5105,6.5111,6.5105,6.5107,0,26,0.0
2021-06-21 17:49:00-04:00,6.5107,6.5116,6.5106,6.5106,0,32,0.0
2021-06-21 17:50:00-04:00,6.5106,6.5112,6.5106,6.5112,0,58,0.0
2021-06-21 17:51:00-04:00,6.5112,6.5118,6.5104,6.5107,0,104,0.0
2021-06-21 17:52:00-04:00,6.5109,6.5117,6.5103,6.5106,0,150,0.0
2021-06-21 17:53:00-04:00,6.5106,6.5119,6.5105,6.5106,0,106,0.0
2021-06-21 17:54:00-04:00,6.5106,6.5116,6.5103,6.511,0,102,0.0
2021-06-21 17:55:00-04:00,6.5111,6.5121,6.511,6.511,0,74,0.0
2021-06-21 17:56:00-04:00,6.5113,6.5119,6.5107,6.5107,0,62,0.0
2021-06-21 17:57:00-04:00,6.5107,6.511,6.5107,6.511,0,18,0.0
2021-06-21 17:58:00-04:00,6.5114,6.5119,6.5108,6.5108,0,52,0.0
2021-06-21 17:59:00-04:00,6.5108,6.5108,6.5108,6.5108,0,2,0.0
2021-06-21 18:00:00-04:00,6.5109,6.5111,6.5107,6.5108,0,12,0.0
2021-06-21 18:01:00-04:00,6.5108,6.5108,6.5108,6.5108,0,16,0.0
2021-06-21 18:02:00-04:00,6.5108,6.511,6.5107,6.5107,0,22,0.0
2021-06-21 18:03:00-04:00,6.5107,6.5111,6.5107,6.5107,0,8,0.0
2021-06-21 18:04:00-04:00,6.5107,6.5111,6.5107,6.5111,0,20,0.0
2021-06-21 18:05:00-04:00,6.5109,6.5111,6.5107,6.5107,0,10,0.0
2021-06-21 18:06:00-04:00,6.5108,6.5111,6.5107,6.5107,0,8,0.0
2021-06-21 18:07:00-04:00,6.5109,6.5111,6.5107,6.5107,0,6,0.0
2021-06-21 18:09:00-04:00,6.5107,6.5108,6.5107,6.5108,0,2,0.0
2021-06-21 18:10:00-04:00,6.511,6.5113,6.5108,6.5113,0,10,0.0
2021-06-21 18:11:00-04:00,6.511,6.5114,6.5108,6.5108,0,38,0.0
2021-06-21 18:12:00-04:00,6.5108,6.5114,6.5108,6.5108,0,14,0.0
2021-06-21 18:13:00-04:00,6.5108,6.5114,6.5108,6.5108,0,8,0.0
2021-06-21 18:14:00-04:00,6.5111,6.5114,6.5106,6.5106,0,6,0.0
2021-06-21 18:15:00-04:00,6.511,6.5115,6.5106,6.5106,0,14,0.0
2021-06-21 18:16:00-04:00,6.5107,6.5114,6.5106,6.5111,0,14,0.0
2021-06-21 18:17:00-04:00,6.5111,6.5111,6.5109,6.5109,0,4,0.0
2021-06-21 18:18:00-04:00,6.5112,6.5116,6.5102,6.5103,0,22,0.0
2021-06-21 18:19:00-04:00,6.5109,6.5115,6.5104,6.5104,0,6,0.0
2021-06-21 18:20:00-04:00,6.5109,6.5114,6.5103,6.5103,0,6,0.0
2021-06-21 18:21:00-04:00,6.5109,6.5115,6.5102,6.5102,0,14,0.0
2021-06-21 18:23:00-04:00,6.5108,6.5115,6.5102,6.5113,0,18,0.0
2021-06-21 18:24:00-04:00,6.511,6.511,6.5101,6.5101,0,4,0.0
2021-06-21 18:36:00-04:00,6.5104,6.5114,6.5104,6.5114,0,4,0.0
2021-06-21 18:37:00-04:00,6.5114,6.5115,6.5106,6.5106,0,24,0.0
2021-06-21 18:38:00-04:00,6.5108,6.5115,6.5106,6.5106,0,8,0.0
2021-06-21 18:39:00-04:00,6.511,6.5114,6.5106,6.5114,0,10,0.0
2021-06-21 18:40:00-04:00,6.5111,6.5115,6.5106,6.5106,0,28,0.0
2021-06-21 18:41:00-04:00,6.5109,6.5114,6.5106,6.5113,0,26,0.0
2021-06-21 18:42:00-04:00,6.5113,6.5114,6.5106,6.5106,0,16,0.0
2021-06-21 18:43:00-04:00,6.511,6.5115,6.511,6.5115,0,2,0.0
2021-06-21 18:44:00-04:00,6.5115,6.5115,6.5106,6.5106,0,14,0.0
2021-06-21 18:45:00-04:00,6.511,6.5114,6.5106,6.5106,0,6,0.0
2021-06-21 18:46:00-04:00,6.511,6.5115,6.5106,6.5106,0,14,0.0
2021-06-21 18:47:00-04:00,6.5106,6.5106,6.5106,6.5106,0,2,0.0
2021-06-21 18:48:00-04:00,6.511,6.5114,6.5106,6.5106,0,14,0.0
2021-06-21 18:49:00-04:00,6.5108,6.5115,6.5106,6.5106,0,16,0.0
2021-06-21 18:50:00-04:00,6.5108,6.5114,6.5106,6.5106,0,8,0.0
2021-06-21 18:51:00-04:00,6.511,6.5116,6.5106,6.5107,0,18,0.0
2021-06-21 18:56:00-04:00,6.5104,6.5104,6.5101,6.5101,0,6,0.0
2021-06-21 18:57:00-04:00,6.5101,6.5102,6.5101,6.5101,0,18,0.0
2021-06-21 18:59:00-04:00,6.5101,6.5102,6.5101,6.5102,0,14,0.0
2021-06-21 19:00:00-04:00,6.5102,6.5102,6.5101,6.5102,0,32,0.0
2021-06-21 19:01:00-04:00,6.5102,6.5102,6.5101,6.5101,0,8,0.0
2021-06-21 19:02:00-04:00,6.5101,6.5101,6.5101,6.5101,0,4,0.0
2021-06-21 19:03:00-04:00,6.5101,6.5101,6.5101,6.5101,0,4,0.0
2021-06-21 19:04:00-04:00,6.5101,6.5101,6.5101,6.5101,0,2,0.0
2021-06-21 19:05:00-04:00,6.5101,6.5101,6.5101,6.5101,0,2,0.0
2021-06-21 19:06:00-04:00,6.5102,6.5106,6.5102,6.5106,0,4,0.0
2021-06-21 19:07:00-04:00,6.5105,6.5105,6.5101,6.5101,0,8,0.0
2021-06-21 19:29:00-04:00,6.5098,6.5098,6.5096,6.5096,0,2,0.0
2021-06-21 19:34:00-04:00,6.5096,6.5096,6.5096,6.5096,0,2,0.0
2021-06-21 19:35:00-04:00,6.5096,6.5096,6.5096,6.5096,0,2,0.0
2021-06-21 19:39:00-04:00,6.5096,6.5097,6.5096,6.5097,0,2,0.0
2021-06-21 19:46:00-04:00,6.5101,6.5106,6.5101,6.5101,0,8,0.0
2021-06-21 19:55:00-04:00,6.5104,6.5107,6.5104,6.5107,0,2,0.0
2021-06-21 19:56:00-04:00,6.5108,6.5109,6.5108,6.5109,0,6,0.0
2021-06-21 19:58:00-04:00,6.5111,6.5114,6.5111,6.5114,0,2,0.0
2021-06-21 19:59:00-04:00,6.5115,6.5116,6.5115,6.5115,0,6,0.0
2021-06-21 20:00:00-04:00,6.5115,6.5115,6.5115,6.5115,0,2,0.0
2021-06-21 20:01:00-04:00,6.5113,6.5113,6.5111,6.5111,0,4,0.0
2021-06-21 20:02:00-04:00,6.5111,6.5111,6.5111,6.5111,0,2,0.0
2021-06-21 20:03:00-04:00,6.5111,6.5111,6.5106,6.5106,0,22,0.0
2021-06-21 20:04:00-04:00,6.5106,6.5106,6.5106,6.5106,0,4,0.0
2021-06-21 20:05:00-04:00,6.5107,6.5111,6.5107,6.5111,0,6,0.0
2021-06-21 20:06:00-04:00,6.5111,6.5111,6.5111,6.5111,0,4,0.0
2021-06-21 20:07:00-04:00,6.5112,6.5116,6.5112,6.5116,0,4,0.0
2021-06-21 20:08:00-04:00,6.5116,6.5116,6.5116,6.5116,0,2,0.0
2021-06-21 20:09:00-04:00,6.5116,6.5122,6.5115,6.5115,0,22,0.0
2021-06-21 20:10:00-04:00,6.5116,6.5116,6.5115,6.5115,0,2,0.0
2021-06-21 20:12:00-04:00,6.5116,6.5116,6.5115,6.5115,0,4,0.0
2021-06-21 20:13:00-04:00,6.5116,6.5118,6.5115,6.5118,0,8,0.0
2021-06-21 20:14:00-04:00,6.5118,6.512,6.5118,6.512,0,8,0.0
2021-06-21 20:15:00-04:00,6.5121,6.5121,6.512,6.512,0,2,0.0
2021-06-21 20:17:00-04:00,6.5121,6.5121,6.512,6.5121,0,4,0.0
2021-06-21 20:18:00-04:00,6.5121,6.5121,6.512,6.512,0,4,0.0
2021-06-21 20:19:00-04:00,6.5121,6.5121,6.5118,6.5118,0,8,0.0
2021-06-21 20:20:00-04:00,6.5118,6.5121,6.5118,6.5121,0,4,0.0
2021-06-21 20:21:00-04:00,6.5121,6.5121,6.5116,6.5116,0,10,0.0
2021-06-21 20:22:00-04:00,6.5116,6.5116,6.5116,6.5116,0,4,0.0
2021-06-21 20:23:00-04:00,6.5116,6.5121,6.5116,6.5121,0,10,0.0
2021-06-21 20:24:00-04:00,6.5121,6.5121,6.5121,6.5121,0,4,0.0
2021-06-21 20:25:00-04:00,6.5124,6.5135,6.5124,6.5135,0,12,0.0
2021-06-21 20:26:00-04:00,6.5135,6.5136,6.5135,6.5136,0,4,0.0
2021-06-21 20:27:00-04:00,6.5136,6.5137,6.5136,6.5136,0,6,0.0
2021-06-21 20:28:00-04:00,6.5136,6.5136,6.5135,6.5135,0,4,0.0
2021-06-21 20:29:00-04:00,6.5133,6.5138,6.5132,6.5138,0,8,0.0
2021-06-21 20:30:00-04:00,6.5139,6.5141,6.5139,6.514,0,6,0.0
2021-06-21 20:31:00-04:00,6.5142,6.5143,6.5142,6.5143,0,4,0.0
2021-06-21 20:32:00-04:00,6.5143,6.5143,6.5143,6.5143,0,2,0.0
2021-06-21 20:33:00-04:00,6.5143,6.5143,6.5143,6.5143,0,4,0.0
2021-06-21 20:34:00-04:00,6.5143,6.5143,6.5143,6.5143,0,2,0.0
2021-06-21 20:35:00-04:00,6.5143,6.5143,6.5142,6.5142,0,8,0.0
2021-06-21 20:36:00-04:00,6.5142,6.5142,6.5142,6.5142,0,2,0.0
2021-06-21 20:37:00-04:00,6.5142,6.5142,6.5131,6.5131,0,16,0.0
2021-06-21 20:38:00-04:00,6.5131,6.5131,6.5126,6.5126,0,8,0.0
2021-06-21 20:39:00-04:00,6.5126,6.5126,6.5126,6.5126,0,4,0.0
2021-06-21 20:40:00-04:00,6.5126,6.5131,6.5126,6.5131,0,10,0.0
2021-06-21 20:41:00-04:00,6.5131,6.5131,6.5131,6.5131,0,2,0.0
2021-06-21 20:42:00-04:00,6.5131,6.5131,6.5131,6.5131,0,4,0.0
2021-06-21 20:43:00-04:00,6.5131,6.5131,6.5131,6.5131,0,6,0.0
2021-06-21 20:44:00-04:00,6.5131,6.5136,6.5131,6.5136,0,10,0.0
2021-06-21 20:45:00-04:00,6.5136,6.5141,6.5136,6.5141,0,8,0.0
2021-06-21 20:46:00-04:00,6.5141,6.5141,6.5141,6.5141,0,8,0.0
2021-06-21 20:47:00-04:00,6.5141,6.5141,6.5141,6.5141,0,6,0.0
2021-06-21 20:48:00-04:00,6.5141,6.5141,6.5141,6.5141,0,8,0.0
2021-06-21 20:49:00-04:00,6.5141,6.5146,6.5141,6.5146,0,6,0.0
2021-06-21 20:51:00-04:00,6.5146,6.5146,6.5146,6.5146,0,2,0.0
2021-06-21 20:52:00-04:00,6.5146,6.5146,6.5141,6.5141,0,6,0.0
2021-06-21 20:53:00-04:00,6.5145,6.515,6.5141,6.5141,0,14,0.0
2021-06-21 20:54:00-04:00,6.5141,6.5141,6.5141,6.5141,0,4,0.0
2021-06-21 20:55:00-04:00,6.5141,6.5141,6.5141,6.5141,0,4,0.0
2021-06-21 20:56:00-04:00,6.5141,6.5141,6.5141,6.5141,0,4,0.0
2021-06-21 20:57:00-04:00,6.5141,6.5141,6.5141,6.5141,0,2,0.0
2021-06-21 20:58:00-04:00,6.5142,6.5144,6.5142,6.5144,0,4,0.0
2021-06-21 20:59:00-04:00,6.5144,6.5144,6.5144,6.5144,0,2,0.0
2021-06-21 21:02:00-04:00,6.5144,6.5144,6.5144,6.5144,0,6,0.0
2021-06-21 21:03:00-04:00,6.5144,6.5149,6.5144,6.5149,0,14,0.0
2021-06-21 21:04:00-04:00,6.5149,6.5149,6.5149,6.5149,0,4,0.0
2021-06-21 21:05:00-04:00,6.5149,6.5149,6.5149,6.5149,0,4,0.0
2021-06-21 21:06:00-04:00,6.5149,6.5149,6.5149,6.5149,0,6,0.0
2021-06-21 21:07:00-04:00,6.5149,6.5149,6.5144,6.5144,0,28,0.0
2021-06-21 21:08:00-04:00,6.5144,6.5144,6.514,6.514,0,8,0.0
2021-06-21 21:09:00-04:00,6.514,6.514,6.514,6.514,0,4,0.0
2021-06-21 21:10:00-04:00,6.514,6.514,6.514,6.514,0,4,0.0
2021-06-21 21:11:00-04:00,6.514,6.514,6.514,6.514,0,20,0.0
2021-06-21 21:12:00-04:00,6.514,6.514,6.514,6.514,0,6,0.0
2021-06-21 21:13:00-04:00,6.514,6.514,6.514,6.514,0,4,0.0
2021-06-21 21:14:00-04:00,6.514,6.514,6.514,6.514,0,2,0.0
2021-06-21 21:15:00-04:00,6.514,6.514,6.514,6.514,0,8,0.0
2021-06-21 21:16:00-04:00,6.514,6.514,6.514,6.514,0,4,0.0
2021-06-21 21:17:00-04:00,6.514,6.5145,6.514,6.514,0,12,0.0
2021-06-21 21:18:00-04:00,6.5141,6.5153,6.5141,6.5151,0,20,0.0
2021-06-21 21:19:00-04:00,6.5148,6.5148,6.5144,6.5144,0,4,0.0
2021-06-21 21:20:00-04:00,6.5143,6.5143,6.5142,6.5142,0,10,0.0
2021-06-21 21:21:00-04:00,6.5139,6.5139,6.5135,6.5135,0,4,0.0
2021-06-21 21:22:00-04:00,6.5135,6.5137,6.5135,6.5136,0,8,0.0
2021-06-21 21:23:00-04:00,6.5136,6.5136,6.5135,6.5135,0,4,0.0
2021-06-21 21:24:00-04:00,6.5136,6.5141,6.5135,6.514,0,14,0.0
2021-06-21 21:25:00-04:00,6.514,6.514,6.5139,6.5139,0,8,0.0
2021-06-21 21:26:00-04:00,6.5139,6.5139,6.5138,6.5138,0,6,0.0
2021-06-21 21:27:00-04:00,6.5138,6.5138,6.5138,6.5138,0,6,0.0
2021-06-21 21:28:00-04:00,6.5138,6.5138,6.5135,6.5135,0,6,0.0
2021-06-21 21:29:00-04:00,6.5135,6.5135,6.5133,6.5133,0,10,0.0
2021-06-21 21:30:00-04:00,6.5133,6.5133,6.5128,6.513,0,22,0.0
2021-06-21 21:31:00-04:00,6.513,6.513,6.513,6.513,0,34,0.0
2021-06-21 21:32:00-04:00,6.513,6.5135,6.513,6.5135,0,54,0.0
2021-06-21 21:33:00-04:00,6.5135,6.5135,6.5135,6.5135,0,28,0.0
2021-06-21 21:34:00-04:00,6.5135,6.5135,6.5135,6.5135,0,10,0.0
2021-06-21 21:35:00-04:00,6.5135,6.514,6.5135,6.5139,0,52,0.0
2021-06-21 21:36:00-04:00,6.5139,6.5139,6.5139,6.5139,0,38,0.0
