,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy,CCN+3M Curncy
,open,high,low,close,volume,num_trds,value
2021-06-27 17:02:00-04:00,6.5027,6.5034,6.5011,6.5011,0,101,0.0
2021-06-27 17:03:00-04:00,6.5013,6.5016,6.501,6.501,0,32,0.0
2021-06-27 17:14:00-04:00,6.501,6.501,6.501,6.501,0,2,0.0
2021-06-27 17:20:00-04:00,6.5023,6.5037,6.5015,6.5025,0,78,0.0
2021-06-27 17:22:00-04:00,6.5029,6.5037,6.5029,6.5033,0,12,0.0
2021-06-27 17:23:00-04:00,6.5031,6.5031,6.5015,6.5025,0,147,0.0
2021-06-27 17:24:00-04:00,6.5028,6.5037,6.5017,6.5026,0,70,0.0
2021-06-27 17:25:00-04:00,6.5026,6.5037,6.5019,6.5023,0,140,0.0
2021-06-27 17:26:00-04:00,6.5023,6.5036,6.5023,6.5036,0,30,0.0
2021-06-27 17:29:00-04:00,6.5033,6.5033,6.503,6.503,0,2,0.0
2021-06-27 17:30:00-04:00,6.5027,6.5034,6.5018,6.5024,0,96,0.0
2021-06-27 17:31:00-04:00,6.5024,6.5036,6.5021,6.5021,0,24,0.0
2021-06-27 17:32:00-04:00,6.5021,6.5038,6.5011,6.5028,0,177,0.0
2021-06-27 17:33:00-04:00,6.5028,6.5028,6.5009,6.5019,0,168,0.0
2021-06-27 17:34:00-04:00,6.5019,6.5023,6.5004,6.502,0,152,0.0
2021-06-27 17:35:00-04:00,6.5016,6.5023,6.5004,6.5022,0,144,0.0
2021-06-27 17:36:00-04:00,6.5022,6.5022,6.5022,6.5022,0,12,0.0
2021-06-27 18:05:00-04:00,6.5027,6.5043,6.5027,6.5029,0,12,0.0
2021-06-27 18:06:00-04:00,6.5026,6.5036,6.5019,6.5036,0,38,0.0
2021-06-27 18:09:00-04:00,6.5039,6.5042,6.5039,6.5042,0,2,0.0
2021-06-27 18:13:00-04:00,6.504,6.5042,6.5034,6.5042,0,12,0.0
2021-06-27 18:14:00-04:00,6.5038,6.5038,6.5033,6.5033,0,4,0.0
2021-06-27 18:15:00-04:00,6.5034,6.5043,6.5032,6.504,0,52,0.0
2021-06-27 18:16:00-04:00,6.5041,6.5052,6.5041,6.5048,0,20,0.0
2021-06-27 18:17:00-04:00,6.5053,6.5057,6.5048,6.5048,0,6,0.0
2021-06-27 18:18:00-04:00,6.505,6.5058,6.5048,6.5048,0,24,0.0
