,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-29 21:03:00-04:00,78.475,78.48,78.475,78.48,10,2,784.77
2021-09-30 00:04:00-04:00,78.515,78.515,78.515,78.515,1,1,78.515
2021-09-30 07:37:00-04:00,78.525,78.525,78.525,78.525,2,1,157.05
2021-09-30 08:16:00-04:00,78.52,78.52,78.52,78.52,1,1,78.52
2021-09-30 09:33:00-04:00,78.57,78.575,78.57,78.575,2,2,157.145
2021-09-30 10:01:00-04:00,78.54,78.54,78.54,78.54,2,1,157.08
2021-09-30 10:30:00-04:00,78.785,78.785,78.785,78.785,1,1,78.785
2021-09-30 10:31:00-04:00,78.82,78.82,78.82,78.82,1,1,78.82
2021-09-30 10:46:00-04:00,78.94,78.94,78.94,78.94,1,1,78.94
2021-09-30 11:09:00-04:00,79.075,79.09,79.075,79.09,2,2,158.165
2021-09-30 11:19:00-04:00,79.15,79.15,79.15,79.15,1,1,79.15
2021-09-30 11:24:00-04:00,79.08,79.08,79.08,79.08,1,1,79.08
2021-09-30 11:25:00-04:00,79.095,79.095,79.095,79.095,1,1,79.095
2021-09-30 11:29:00-04:00,79.075,79.075,79.07,79.07,2,2,158.145
2021-09-30 11:32:00-04:00,79.1,79.1,79.1,79.1,2,1,158.2
2021-09-30 11:34:00-04:00,79.055,79.055,79.055,79.055,2,1,158.11
2021-09-30 12:37:00-04:00,78.815,78.815,78.815,78.815,2,1,157.63
2021-09-30 14:15:00-04:00,78.915,78.915,78.91,78.91,3,3,236.735
2021-09-30 15:36:00-04:00,79.06,79.06,79.06,79.06,1,1,79.06
