,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-29 20:54:00-04:00,78.45,78.45,78.45,78.45,1,1,78.45
2021-09-29 21:53:00-04:00,78.5,78.5,78.5,78.5,1,1,78.5
2021-09-30 08:19:00-04:00,78.5,78.5,78.5,78.5,1,1,78.5
2021-09-30 10:01:00-04:00,78.535,78.535,78.535,78.535,2,1,157.07
2021-09-30 10:35:00-04:00,78.87,78.87,78.87,78.87,5,1,394.35
2021-09-30 11:22:00-04:00,79.075,79.075,79.075,79.075,1,1,79.075
2021-09-30 11:31:00-04:00,79.115,79.125,79.115,79.125,5,3,395.595
2021-09-30 11:34:00-04:00,79.05,79.05,79.05,79.05,2,1,158.1
2021-09-30 12:37:00-04:00,78.81,78.815,78.81,78.815,4,2,315.25
2021-09-30 14:10:00-04:00,78.9,78.9,78.9,78.9,2,1,157.8
2021-09-30 14:17:00-04:00,78.89,78.89,78.89,78.89,2,1,157.78
2021-09-30 15:36:00-04:00,79.055,79.055,79.055,79.055,1,1,79.055
