,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-29 19:04:00-04:00,78.345,78.345,78.345,78.345,1,1,78.345
2021-09-29 20:00:00-04:00,78.4,78.4,78.4,78.4,1,1,78.4
2021-09-29 20:54:00-04:00,78.455,78.455,78.455,78.455,1,1,78.455
2021-09-29 21:30:00-04:00,78.445,78.445,78.445,78.445,1,1,78.445
2021-09-29 21:32:00-04:00,78.44,78.44,78.44,78.44,1,1,78.44
2021-09-29 22:45:00-04:00,78.52,78.52,78.52,78.52,1,1,78.52
2021-09-29 23:17:00-04:00,78.52,78.52,78.52,78.52,1,1,78.52
2021-09-29 23:59:00-04:00,78.52,78.52,78.52,78.52,1,1,78.52
2021-09-30 03:22:00-04:00,78.585,78.585,78.585,78.585,1,1,78.585
2021-09-30 05:08:00-04:00,78.61,78.61,78.61,78.61,1,1,78.61
2021-09-30 05:13:00-04:00,78.585,78.585,78.585,78.585,1,1,78.585
2021-09-30 05:17:00-04:00,78.57,78.57,78.57,78.57,1,1,78.57
2021-09-30 08:11:00-04:00,78.535,78.535,78.535,78.535,1,1,78.535
2021-09-30 08:30:00-04:00,78.565,78.565,78.565,78.565,1,1,78.565
2021-09-30 09:16:00-04:00,78.54,78.54,78.54,78.54,2,1,157.08
2021-09-30 09:35:00-04:00,78.58,78.58,78.58,78.58,2,1,157.16
2021-09-30 09:39:00-04:00,78.51,78.51,78.51,78.51,2,2,157.02
2021-09-30 09:55:00-04:00,78.58,78.58,78.58,78.58,1,1,78.58
2021-09-30 10:16:00-04:00,78.675,78.675,78.675,78.675,1,1,78.675
2021-09-30 10:18:00-04:00,78.7,78.7,78.695,78.695,3,2,236.09
2021-09-30 10:21:00-04:00,78.665,78.665,78.66,78.66,4,2,314.65
2021-09-30 10:46:00-04:00,78.93,78.945,78.93,78.945,5,3,394.7
2021-09-30 10:47:00-04:00,78.925,78.925,78.925,78.925,1,1,78.925
2021-09-30 10:48:00-04:00,78.955,78.955,78.95,78.95,3,2,236.86
2021-09-30 10:54:00-04:00,78.92,78.95,78.92,78.95,3,3,236.795
2021-09-30 10:57:00-04:00,78.895,78.895,78.895,78.895,1,1,78.895
2021-09-30 10:59:00-04:00,78.925,78.925,78.925,78.925,2,1,157.85
2021-09-30 11:01:00-04:00,78.985,78.985,78.98,78.98,3,2,236.95
2021-09-30 11:02:00-04:00,78.98,78.98,78.98,78.98,2,2,157.96
2021-09-30 11:05:00-04:00,78.955,78.955,78.955,78.955,1,1,78.955
2021-09-30 11:06:00-04:00,79.02,79.02,79.02,79.02,1,1,79.02
2021-09-30 11:11:00-04:00,79.075,79.075,79.075,79.075,2,1,158.15
2021-09-30 11:23:00-04:00,79.08,79.08,79.08,79.08,2,1,158.16
2021-09-30 11:28:00-04:00,79.06,79.06,79.06,79.06,2,1,158.12
2021-09-30 11:29:00-04:00,79.07,79.07,79.07,79.07,2,1,158.14
2021-09-30 11:32:00-04:00,79.105,79.11,79.105,79.11,5,3,395.54
2021-09-30 11:37:00-04:00,78.96,78.96,78.95,78.95,4,2,315.82
2021-09-30 11:38:00-04:00,78.955,78.955,78.955,78.955,2,1,157.91
2021-09-30 11:43:00-04:00,78.955,78.955,78.945,78.945,4,2,315.8
2021-09-30 11:44:00-04:00,78.93,78.93,78.93,78.93,2,1,157.86
2021-09-30 11:46:00-04:00,78.9,78.9,78.9,78.9,1,1,78.9
2021-09-30 11:48:00-04:00,78.87,78.87,78.86,78.86,4,2,315.46
2021-09-30 11:49:00-04:00,78.875,78.89,78.875,78.89,6,4,473.28
2021-09-30 11:51:00-04:00,78.865,78.865,78.865,78.865,2,1,157.73
2021-09-30 11:55:00-04:00,78.9,78.9,78.9,78.9,2,1,157.8
2021-09-30 12:06:00-04:00,78.87,78.88,78.865,78.865,7,5,552.115
2021-09-30 12:09:00-04:00,78.825,78.825,78.82,78.82,4,2,315.29
2021-09-30 12:10:00-04:00,78.81,78.81,78.81,78.81,2,2,157.62
