,ESM1 Index,ESM1 Index,ESM1 Index,ESM1 Index,ESM1 Index,ESM1 Index,ESM1 Index
,open,high,low,close,volume,num_trds,value
2021-05-25 18:00:00-04:00,4188.0,4188.75,4187.75,4188.25,467,168,1955911.5
2021-05-25 18:01:00-04:00,4188.25,4188.75,4188.0,4188.0,103,45,431396.5
2021-05-25 18:02:00-04:00,4188.0,4189.25,4188.0,4189.0,119,40,498450.75
2021-05-25 18:03:00-04:00,4188.75,4190.5,4188.75,4190.25,481,150,2015266.75
2021-05-25 18:04:00-04:00,4190.25,4190.25,4189.75,4189.75,127,46,532131.0
2021-05-25 18:05:00-04:00,4189.75,4190.0,4189.25,4189.5,142,63,594927.5
2021-05-25 18:06:00-04:00,4189.5,4189.5,4189.0,4189.0,152,60,636747.5
2021-05-25 18:07:00-04:00,4189.0,4189.25,4188.5,4188.75,145,66,607381.5
2021-05-25 18:08:00-04:00,4188.75,4188.75,4188.5,4188.75,66,38,276449.25
2021-05-25 18:09:00-04:00,4189.0,4189.5,4188.75,4189.5,80,30,335136.5
2021-05-25 18:10:00-04:00,4189.25,4189.5,4189.0,4189.0,54,24,226220.0
2021-05-25 18:11:00-04:00,4189.0,4189.5,4189.0,4189.25,48,24,201085.5
2021-05-25 18:12:00-04:00,4189.0,4190.0,4189.0,4189.75,90,31,377068.5
2021-05-25 18:13:00-04:00,4189.75,4190.0,4189.75,4189.75,79,31,330999.75
2021-05-25 18:14:00-04:00,4190.0,4190.0,4189.0,4189.0,59,21,247176.25
2021-05-25 18:15:00-04:00,4188.75,4189.0,4188.5,4189.0,71,25,297402.25
2021-05-25 18:16:00-04:00,4189.0,4189.0,4188.5,4188.75,31,13,129853.0
2021-05-25 18:17:00-04:00,4189.0,4189.25,4188.75,4188.75,70,34,293229.0
2021-05-25 18:18:00-04:00,4188.75,4189.25,4188.75,4189.25,57,33,238766.75
2021-05-25 18:19:00-04:00,4189.0,4189.5,4188.75,4189.5,59,26,247159.75
2021-05-25 18:20:00-04:00,4189.75,4190.0,4189.5,4190.0,49,21,205298.25
2021-05-25 18:21:00-04:00,4189.75,4190.5,4189.75,4190.25,121,39,506998.25
2021-05-25 18:22:00-04:00,4190.25,4190.5,4190.25,4190.5,80,20,335225.0
2021-05-25 18:23:00-04:00,4190.5,4191.0,4190.5,4190.75,166,70,695663.0
2021-05-25 18:24:00-04:00,4190.75,4191.5,4190.5,4190.75,229,78,959739.5
2021-05-25 18:25:00-04:00,4190.75,4191.25,4190.75,4191.0,145,42,607694.5
2021-05-25 18:26:00-04:00,4191.0,4191.0,4190.5,4190.75,119,39,498707.0
